STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,GEOID10_1,GEOID,SUMLEVEL,ST,NAME,COUNTY,Total,Male,MUn5Y,M5to9Y,M10to14Y,M15to17Y,M18and19Y,M20Y,M21Y,M22to24Y,M25to29Y,M30to34Y,M35to39Y,M40to44Y,M45to49Y,M50to54Y,M55to59Y,M60and61Y,M62to64Y,M65and66Y,M67to69Y,M70to74Y,M75to79Y,M80to84Y,MOv85Y,Female,FUn5Y,F5to9Y,F10to14Y,F15to17Y,F18and19Y,F20Y,F21Y,F22to24Y,F25to29Y,F30to34Y,F35to39Y,F40to44Y,F45to49Y,F50to54Y,F55to59Y,F60and61Y,F62to64Y,F65and66Y,F67to69Y,F70to74Y,F75to79Y,F80to84Y,FOv85Y,MedianAge,MedianAgeM,MedianAgeF,TotalRace,White,BlackorAA,AmIndAlNat,Asian,NHawOPacIs,Other,R2orMore,R2orMInOth,R2orMNO3R,TotHispNoH,NotHisp,Hisp,TotalHouse,FamHouse,FHMarrCoup,FHOthFam,FHMaleHous,FHFemHous,NonFamHous,NFHAlone,NFHNotAln,MedHousInc,MedFamInc,PerCapInc,TotalUnits,Occupied,Vacant,GrpQrtPop,TotPop25Ov,Male1,MNoSchool,MNursto4Gr,M5and6Gr,M7and8Gr,M9Gr,M10Gr,M11Gr,M12GrNoDip,MHSGdorGED,MColless1Y,MColNoDeg,MAsscDeg,MBachDeg,MMastDeg,MProfDeg,MDocDeg,Female1,FNoSchool,FNursto4Gr,F5and6Gr,F7and8Gr,F9Gr,F10Gr,F11Gr,F12GrNoDip,FHSGdorGED,FColless1Y,FColNoDeg,FAsscDeg,FBachDeg,FMastDeg,FProfDeg,FDocDeg,OwnOccUnit,OVLess10K,OV10K14999,OV15K19999,OV20K24999,OV25K29999,OV30K34999,OV35K39999,OV40K49999,OV50K5999,OV60K69999,OV70K79999,OV80K89999,OV90K99999,OV100K1249,OV125K1499,OV150K1749,OV175K1999,OV200K2499,OV250K2999,OV300K3999,OV400K4999,OV500K7499,OV750K9999,OV1MillUp,MedValHous
31,21,835832,31021,Burt,Burt County,6,H1,G4020,,,,05000US31021,31021,50,31,"Burt County, Nebraska",21,6964,3418,194,198,249,155,88,15,54,50,150,137,185,220,270,281,308,89,88,76,122,148,159,88,94,3546,202,209,220,151,69,6,36,81,154,140,145,253,246,264,265,86,99,89,100,203,187,161,180,45.9,45.2,47,6964,6735,57,74,18,0,18,62,9,53,6964,6851,113,2951,2019,1748,271,65,206,932,820,112,43817,54770,23302,3508,2951,557,187,4987,2415,10,3,17,35,18,31,63,73,910,155,364,252,349,81,31,23,2572,19,1,0,43,7,58,75,26,1024,269,390,232,317,77,31,3,2194,51,30,54,61,24,48,106,162,157,195,142,215,199,212,126,150,74,93,15,40,19,18,0,3,83100
31,47,835845,31047,Dawson,Dawson County,6,H1,G4020,,30420,,05000US31047,31047,50,31,"Dawson County, Nebraska",47,24245,12245,1052,817,1076,594,347,162,120,385,851,803,728,838,814,873,773,261,353,245,172,299,328,177,177,12000,925,935,944,567,279,99,127,370,745,688,814,707,803,750,635,288,363,168,250,547,406,264,326,36,34.3,36.9,24245,18770,624,89,129,0,4204,429,213,216,24245,16840,7405,8908,6092,4831,1261,451,810,2816,2608,208,41830,51674,19384,10065,8908,1157,270,15446,7692,117,234,515,301,358,225,160,154,2691,374,1096,373,778,187,112,17,7754,255,167,279,237,270,165,219,128,2747,674,1007,437,907,223,28,11,6395,313,94,15,131,125,134,151,319,486,447,721,764,576,667,429,398,201,205,73,27,62,29,26,2,83400
31,155,835899,31155,Saunders,Saunders County,6,H1,G4020,420,36540,,05000US31155,31155,50,31,"Saunders County, Nebraska",155,20543,10389,746,705,822,503,233,114,95,282,473,538,576,763,952,801,697,251,389,139,230,444,289,176,171,10154,632,691,771,490,228,52,88,253,479,557,570,730,865,797,651,250,326,183,227,413,275,266,360,41.6,41,42.1,20543,20050,11,47,42,2,154,237,0,237,20543,20150,393,7985,5931,5143,788,294,494,2054,1753,301,57699,67549,26898,9112,7985,1127,394,13838,6889,19,0,53,94,53,82,50,91,2840,448,873,751,1045,330,128,32,6949,47,0,6,181,72,85,78,84,2220,620,1065,749,1240,420,50,32,6612,65,23,57,64,54,46,57,119,144,293,300,345,430,843,929,539,397,767,450,414,118,134,17,7,137500
31,171,835907,31171,Thomas,Thomas County,6,H1,G4020,,,,05000US31171,31171,50,31,"Thomas County, Nebraska",171,756,355,11,20,29,27,0,0,0,1,25,11,25,13,39,25,37,3,26,4,8,19,10,12,10,401,33,21,20,22,0,0,12,6,16,9,28,22,23,37,35,13,29,13,4,3,17,17,21,47,46.3,48.3,756,731,1,0,3,0,0,21,1,20,756,755,1,332,214,204,10,2,8,118,106,12,48250,60278,31499,405,332,73,0,554,267,0,3,3,7,3,0,0,0,90,63,28,46,20,4,0,0,287,0,0,0,1,0,5,10,5,87,29,40,44,57,9,0,0,256,25,0,5,6,19,7,7,22,23,12,18,6,5,10,19,3,0,17,33,4,3,8,0,4,71100
31,3,835824,31003,Antelope,Antelope County,6,H1,G4020,,,,05000US31003,31003,50,31,"Antelope County, Nebraska",3,6742,3369,227,228,210,175,93,76,13,71,155,155,153,182,277,278,271,78,126,64,95,149,123,75,95,3373,200,218,212,148,57,27,52,36,154,155,185,169,269,276,279,56,101,35,105,200,138,170,131,45.2,43.5,46.5,6742,6642,25,3,5,0,4,63,2,61,6742,6595,147,2792,2008,1698,310,99,211,784,733,51,37058,47463,20419,3291,2792,499,193,4699,2276,15,0,6,88,19,39,37,43,1021,132,290,254,211,46,67,8,2423,10,0,2,71,26,43,56,25,880,179,467,222,351,73,12,6,2011,66,61,72,77,119,73,113,123,167,192,100,172,76,156,94,116,35,50,53,49,34,11,0,2,67000
31,71,835857,31071,Garfield,Garfield County,6,H1,G4020,,,,05000US31071,31071,50,31,"Garfield County, Nebraska",71,2081,1053,34,43,120,77,27,0,8,14,26,19,66,50,109,128,55,14,43,8,31,71,51,41,18,1028,24,97,71,41,10,11,0,0,30,42,38,95,95,99,65,6,39,42,41,57,47,48,30,47.3,47,48.2,2081,2014,0,6,0,0,59,2,0,2,2081,2022,59,875,617,534,83,20,63,258,245,13,38709,47056,19235,1103,875,228,56,1504,730,4,3,15,42,2,12,2,3,286,57,178,34,66,11,8,7,774,1,0,11,43,2,10,3,8,303,68,145,65,79,31,5,0,695,23,13,19,26,34,67,33,43,30,35,63,26,11,51,76,19,20,51,43,0,12,0,0,0,73900
31,165,835904,31165,Sioux,Sioux County,6,H1,G4020,,,,05000US31165,31165,50,31,"Sioux County, Nebraska",165,1340,675,17,44,56,27,26,1,2,9,17,37,37,46,68,56,59,27,17,20,11,43,37,10,8,665,6,38,51,20,9,1,3,16,22,26,33,31,62,61,73,32,31,8,18,31,23,38,32,48.9,46.5,51.2,1340,1299,0,2,25,0,0,14,9,5,1340,1331,9,598,395,346,49,6,43,203,195,8,42386,52750,25824,808,598,210,0,1014,493,0,0,0,11,0,0,6,16,160,28,88,63,58,49,11,3,521,0,0,0,0,9,4,3,9,166,36,97,54,110,26,7,0,429,14,16,7,30,13,9,6,37,14,21,26,5,5,31,10,27,25,21,39,6,24,21,14,8,109300
31,49,835846,31049,Deuel,Deuel County,6,H1,G4020,,,,05000US31049,31049,50,31,"Deuel County, Nebraska",49,1963,940,47,39,48,40,6,15,2,11,36,67,37,60,101,80,54,31,33,44,52,46,50,25,16,1023,56,56,52,50,22,16,12,20,28,29,46,42,92,82,96,48,25,31,28,52,46,46,48,49.3,48.2,49.7,1963,1907,1,5,0,0,15,35,5,30,1963,1880,83,931,616,509,107,33,74,315,296,19,37148,49375,23758,1084,931,153,10,1471,732,0,3,10,22,4,10,3,32,238,69,123,69,113,24,12,0,739,0,0,0,3,6,6,29,13,279,50,150,85,81,29,8,0,729,17,12,28,26,26,44,47,83,41,72,78,47,30,42,16,36,20,36,13,6,9,0,0,0,65600
31,133,835888,31133,Pawnee,Pawnee County,6,H1,G4020,,,,05000US31133,31133,50,31,"Pawnee County, Nebraska",133,2767,1370,68,78,79,94,8,0,3,62,51,38,82,81,96,113,103,63,44,22,47,72,47,74,45,1397,64,52,110,28,9,11,0,42,49,47,71,92,126,93,84,30,74,38,50,81,83,63,100,48.6,47.6,49.8,2767,2724,0,22,0,0,0,21,1,20,2767,2733,34,1309,843,714,129,36,93,466,429,37,41969,49564,21865,1550,1309,241,74,2059,978,5,3,0,57,10,13,16,25,486,41,109,53,124,17,19,0,1081,10,16,0,39,5,26,6,17,527,63,127,101,106,38,0,0,1024,54,47,68,59,41,56,61,74,101,48,57,53,26,65,22,66,7,61,32,23,0,3,0,0,55100
31,15,835829,31015,Boyd,Boyd County,6,H1,G4020,,,,05000US31015,31015,50,31,"Boyd County, Nebraska",15,2107,1116,29,89,90,49,21,14,18,20,53,29,55,95,91,81,78,15,43,42,48,53,50,30,23,991,65,54,57,23,21,14,17,15,55,26,60,41,80,70,84,3,58,37,26,49,52,34,50,47,44.4,48.3,2107,2026,0,8,0,0,73,0,0,0,2107,2034,73,932,597,535,62,18,44,335,302,33,34906,41326,21003,1439,932,507,10,1511,786,0,0,0,52,11,13,11,14,357,47,84,77,98,13,0,9,725,0,0,1,19,0,9,23,2,272,71,162,86,68,7,4,1,700,55,62,42,62,17,40,4,49,89,15,30,50,24,49,14,22,3,26,24,10,4,5,4,0,52100
