month,day,year,day_of_week,t_max,t_min,t_mean,precip
1,1,2020,Wednesday,47,22,35,0
1,2,2020,Thursday,44,23,34,0
1,3,2020,Friday,43,21,32,0
1,4,2020,Saturday,46,18,32,0
1,5,2020,Sunday,49,22,36,0
1,6,2020,Monday,46,19,33,0
1,7,2020,Tuesday,51,23,37,0
1,8,2020,Wednesday,44,22,33,0
1,9,2020,Thursday,48,27,38,0
1,10,2020,Friday,28,12,20,0.01
1,11,2020,Saturday,27,6,17,0
1,12,2020,Sunday,24,11,18,0.03
1,13,2020,Monday,34,22,28,0
1,14,2020,Tuesday,33,18,26,T
1,15,2020,Wednesday,32,5,19,0
1,16,2020,Thursday,17,1,9,0
1,17,2020,Friday,34,15,25,0.33
1,18,2020,Saturday,36,9,23,T
1,19,2020,Sunday,14,3,9,0
1,20,2020,Monday,11,1,6,0
1,21,2020,Tuesdday,33,-3,15,0.11
1,22,2020,Wednesday,35,33,34,0.41
1,23,2020,Thursday,35,29,32,0.31
1,24,2020,Friday,31,25,28,0
1,25,2020,Saturday,32,14,23,0
1,26,2020,Sunday,45,21,33,0
1,27,2020,Monday,36,23,30,0
1,28,2020,Tuesday,31,28,30,0.07
1,29,2020,Wednesday,36,25,31,0.02
1,30,2020,Thursday,38,31,35,0
1,31,2020,Friday,38,30,34,T
2,1,2020,Saturday,49,22,36,0
2,2,2020,Sunday ,64,30,47,0
2,3,2020,Monday ,36,28,32,0
2,4,2020,Tuesday ,30,22,26,0
2,5,2020,Wednesday ,33,16,25,0.08
2,6,2020,Thursday ,40,12,26,T
2,7,2020,Friday ,34,15,25,0.01
2,8,2020,Saturday,42,12,27,0
2,9,2020,Sunday ,38,21,30,0
2,10,2020,Monday ,45,16,31,0
2,11,2020,Tuesday ,44,24,34,0
2,12,2020,Wednesday ,41,3,22,T
2,13,2020,Thursday ,17,-2,8,0
2,14,2020,Friday ,32,2,17,0
2,15,2020,Saturday,51,18,35,0
2,16,2020,Sunday ,56,28,42,0
2,17,2020,Monday ,56,28,42,T
2,18,2020,Tuesday ,46,18,32,0
2,19,2020,Wednesday ,27,13,20,0.04
2,20,2020,Thursday ,29,1,15,0
2,21,2020,Friday ,51,16,34,0
2,22,2020,Saturday,58,22,40,0
2,23,2020,Sunday ,61,23,42,0
2,24,2020,Monday ,51,27,39,0
2,25,2020,Tuesday ,42,27,35,0
2,26,2020,Wednesday,40,21,31,0
2,27,2020,Thursday ,45,24,35,0
2,28,2020,Friday ,56,26,41,0
2,29,2020,Saturday,68,23,46,0
3,1,2020,Sunday,60,30,45,0
3,2,2020,Monday,49,32,41,T
3,3,2020,Tuesday,61,30,46,T
3,4,2020,Wednesday,65,29,47,0
3,5,2020,Thursday,55,34,45,0
3,6,2020,Friday,57,18,38,0
3,7,2020,Saturday,72,42,57,0
3,8,2020,Sunday,73,48,61,0.04
3,9,2020,Monday,56,32,44,0.31
3,10,2020,Tuesday,49,24,35,T
3,11,2020,Wednesday,65,28,47,0
3,12,2020,Thursday,60,30,45,0.21
3,13,2020,Friday,47,20,34,0.18
3,14,2020,Saturday,35,33,34,0.25
3,15,2020,Sunday,34,31,33,0
3,16,2020,Monday,43,34,39,0
3,17,2020,Tuesday,50,23,37,0.03
3,18,2020,Wednesday,54,43,49,0.04
3,19,2020,Thursday,58,30,44,0.49
3,20,2020,Friday,32,18,25,T
3,21,2020,Saturday,49,20,35,0
3,22,2020,Sunday,46,32,39,0
3,23,2020,Monday,52,42,47,0
3,24,2020,Tuesday,59,43,51,0
3,25,2020,Wednesday,75,43,59,0
3,26,2020,Thursday,57 ,41,49,0
3,27,2020,Friday,49,45,47,0.03
3,28,2020,Saturday ,57,42,50,0.09
3,29,2020,Sunday,66,34,50,0
3,30,2020,Monday,72,31,52,0
3,31,2020,Tuesday,71,41,56,0
4,1,2020,Wednesday ,78,41,60,0
4,2,2020,Thursday ,63,25,44,0.01
4,3,2020,Friday ,38,23,31,0.13
4,4,2020,Saturday ,52,26,39,0
4,5,2020,Sunday ,62,22,42,0
4,6,2020,Monday ,75,52,64,0
4,7,2020,Tuesday ,87,46,67,0
4,8,2020,Wednesday,74,36,55,0
4,9,2020,Thursday ,56,23,40,0
4,10,2020,Friday ,58,17,38,0
4,11,2020,Saturday ,74,41,58,T
4,12,2020,Sunday ,50,28,39,T
4,13,2020,Monday ,43,21,32,0
4,14,2020,Tuesday ,51,16,34,0
4,15,2020,Wednesday,55,16,36,T
4,16,2020,Thursday,42,31,37,0.53
4,17,2020,Friday ,49,24,37,0
4,18,2020,Saturday ,74,36,55,0
4,19,2020,Sunday ,65,40,53,0
